"en","pt"
"Choose Language","Escolher idioma"
"About Slick","Sobre o Slick"
"Slick was developed by","O Slick foi desenvolvido por"
"and designed and commissioned by","e projetado e financiado por"
"International Fisheries Conservation Project and","Projeto Internacional de Conservação Pesqueira e"
"with support from","com apoio de"
"and the","e do"
"which is funded by","que é financiado por"
"and implemented by the","e implementado pelo"
"The prototype figure designs were developed by","Os delineamentos das figuras propostas foram desenvolvidos por"
"Slick is under going further development. All feedback is welcome. Please contact","O Slick está em constante desenvolvimento. Todo feedback é bem-vindo. Entre em contato com"
"with any comments or suggestions for further development.","e nos forneça seus comentários e/ou sugestões de adequação."
"Overall","Geral"
"By Operating Model","Por Modelo Operacional"
"All performance indicators are defined such that higher values mean better performance and lower values mean worse performance.","Todos os indicadores de desempenho são definidos de forma que valores mais altos signifiquem melhor desempenho e valores mais baixos signifiquem pior desempenho."
"Results can also be shown as violin plots by selecting the button on the right.","Os resultados também podem ser exibidos como gráficos de violino, selecionando o botão à direita."
"Violin plots are similar to boxplots, except that they also show the probability density of data at different values. The width of the violin plot indicates the proportion of data points that are in each region of the plot; i.e., wide areas of the plot indicate a relatively large number of data points in that region, while narrow areas of the plot indicate few data points. The plots extend the full range of the data values.","Gráficos de violino são semelhantes aos boxplots, exceto que também mostram a densidade de probabilidade dos dados em diferentes valores. A largura do gráfico de violino indica a proporção de pontos de dados em cada região do gráfico; ou seja, áreas largas indicam um número relativamente grande de pontos nessa região, enquanto áreas estreitas indicam poucos pontos. Os gráficos abrangem toda a faixa dos valores de dados."
"Reading this Chart","Lendo este gráfico"
"This chart compares the performance of ","Este gráfico compara o desempenho de "
" management procedures (MP) across "," procedimentos de manejo (MP) entre "
" operating models."," modelos operacionais."
" management procedures (MP) for "," procedimentos de manejo (MP) para "
"Reset Defaults","Redefinir padrões"
"Management Procedures","Procedimentos de Manejo"
"Performance Indicators","Indicadores de Desempenho"
"Global MP Settings","Configurações Globais de MP"
"Operating Models","Modelos Operacionais"
"These Management Procedure settings will apply to all plots.","Essas configurações de Procedimentos de Manejo se aplicam a todos os gráficos."
"MPs that are deselected here will not be displayed in any plots.","Os MPs desmarcados aqui não serão exibidos em nenhum gráfico."
"The MP Color Settings will change the colors of the MPs in all plots.","As Configurações de Cor de MP alteram as cores dos MPs em todos os gráficos."
"Apply Global MP Filter","Aplicar Filtro Global de MP"
"Please load a Slick object","Por favor, carregue um objeto Slick"
"Welcome to Slick","Bem-vindo ao Slick"
"Slick is a decision analysis tool that presents the outcomes of candidate management procedures (MPs), also known as harvest strategies, across various states of nature, accounting for uncertainty. It is interactive and allows users to filter results live in order to explore robustness and performance.","O Slick é uma ferramenta de análise de decisão que apresenta os resultados de procedimentos de manejo (MPs) candidatos, também conhecidos como estratégias de captura, em vários estados da natureza, considerando a incerteza. É interativo e permite aos usuários filtrar resultados em tempo real para explorar robustez e desempenho."
"While Slick can be applied to any decision analysis context, it was specifically designed to investigate the performance of harvest strategies tested by management strategy evaluation (MSE). Slick can be used for any MSE process, but the current version includes a demonstration example, as well as preliminary results from the MSEs for Western Atlantic skipjack tuna and North Atlantic swordfish. Users can also upload custom Slick data files produced to display results from other MSEs (see the "," Embora o Slick possa ser aplicado a qualquer contexto de análise de decisão, ele foi especificamente projetado para investigar o desempenho de estratégias de captura testadas por meio de avaliações de estratégias de manejo (MSE). O Slick pode ser usado em qualquer processo MSE, mas a versão atual inclui um exemplo de demonstração, assim como resultados preliminares das MSEs para o bonito-listrado no Atlântico Ocidental e o espadarte no Atlântico Norte. Os usuários também podem enviar arquivos de dados Slick personalizados para exibir resultados de outras MSEs (consulte o "
"Developer's Guide"," Guia do Desenvolvedor"
"How to use Slick","Como usar o Slick"
"Load a Slick Data File:","Carregar um Arquivo de Dados Slick:"
"To use Slick, you need to either choose from one of the examples on the right, or upload a Slick Data file.","Para usar o Slick, você precisa escolher um dos exemplos à direita ou enviar um arquivo de dados Slick."
"Consult the","Consulte o"
"for information on creating a Slick Data file.","para obter informações sobre como criar um arquivo de dados Slick."
"Explore the Results:","Explorar os Resultados:"
"After a Slick Data File is loaded, the App will navigate to an Overview page which provides a summary of the information contained in the Slick Data File, and links to Slick's data visualization pages.","Após carregar um Arquivo de Dados Slick, o aplicativo navegará para uma página de Visão Geral que fornece um resumo das informações contidas no arquivo e links para as páginas de visualização de dados do Slick."
"Load Slick Data","Carregar Dados do Slick"
"Load your MSE Results","Carregar seus Resultados MSE"
"From file (.slick)","Do arquivo (.slick)"
"Load a Case Study","Carregar um Estudo de Caso"
"Select a case study and click the Load button","Selecione um estudo de caso e clique no botão Carregar"
"Select Case Study","Selecionar Estudo de Caso"
"Load","Carregar"
"Click the Download button to download the Slick file","Clique no botão Download para baixar o arquivo Slick"
"Download","Baixar"
"X Axis","Eixo X"
"Y Axis","Eixo Y"
"This chart compares trade-offs in","Este gráfico compara as compensações em"
" management procedures for "," procedimentos de manejo para "
" operating models by measuring two co-dependent performance metrics, typically a measure of fishing mortality (vertical axis) and biomass (horizontal axis)"," modelos operacionais medindo duas métricas de desempenho co-dependentes, tipicamente uma medida de mortalidade por pesca (eixo vertical) e biomassa (eixo horizontal)"
"The large colored dots represent the median value for the final year of the projection period: ","Os grandes pontos coloridos representam o valor mediano para o último ano do período de projeção: "
"The small colored dots indicate the median value in the first year of the projections, and the colored lines show how the median values change over time.","Os pequenos pontos coloridos indicam o valor mediano no primeiro ano das projeções, e as linhas coloridas mostram como os valores medianos mudam ao longo do tempo."
"The white dotted lines around dots are error bars. The default represents","As linhas brancas pontilhadas ao redor dos pontos são barras de erro. O padrão representa"
"percentiles, but that can be changed using the ""Percentiles"" scale at the right. The error bars can be removed with the checkbox on the right side.","percentis, mas isso pode ser alterado usando a escala de ""Percentis"" à direita. As barras de erro podem ser removidas com a caixa de seleção à direita."
"This chart compares the projected median values for ","Este gráfico compara os valores medianos projetados para "
"operating models over time for ","modelos operacionais ao longo do tempo para "
"management procedures and shows the levels of uncertainty.","procedimentos de manejo e mostra os níveis de incerteza."
"Segments within each bar are another way of looking at the error bars in the Kobe plot. They show the percentage of runs that fall in each of the Kobe quadrants in each projection year.","Os segmentos dentro de cada barra são outra forma de visualizar as barras de erro no gráfico de Kobe. Eles mostram a porcentagem de execuções que caem em cada quadrante de Kobe em cada ano de projeção."
"Error Bars","Barras de Erro"
"Include Error Bars?","Incluir Barras de Erro?"
"Percentile","Percentil"
"Set Maximum Axis Value","Definir Valor Máximo do Eixo"
"Show line for entire projection period?","Mostrar linha para todo o período de projeção?"
"Overview","Visão Geral"
"Created:","Criado:"
"Author:","Autor:"
"Email:","Email:"
"Institution:","Instituição:"
"Summary","Resumo"
"About the Plots","Sobre os Gráficos"
"Plots the time series of a user-specified variable (e.g., yield, biomass) during the historical period and the projection period for each management procedure.","Mostra a série temporal de uma variável especificada pelo usuário (por exemplo, rendimento, biomassa) durante o período histórico e o período de projeção para cada procedimento de manejo."
"A box plot, also called a box and whisker plot, displays the minimum, first quartile, median, third quartile, and maximum from a set of results. The boxplot tab includes an option to display the data as a violin plot, which is similar to a boxplot but also shows the density of data at different values.","Um boxplot, também chamado de gráfico de caixa e bigodes, exibe o mínimo, primeiro quartil, mediana, terceiro quartil e máximo de um conjunto de resultados. A aba do boxplot inclui uma opção para exibir os dados como um gráfico de violino, que é semelhante a um boxplot, mas também mostra a densidade dos dados em diferentes valores."
"A trade-off plot comparing the performance of MPs with respect to biomass (on the x-axis) and fishing mortality (on the y-axis).  The Kobe tab includes an option to display the data as a Kobe time plot, which shows the percentage of runs that fall in each of the Kobe quadrants in each projection year.","Um gráfico de compensação comparando o desempenho dos MPs em relação à biomassa (no eixo x) e à mortalidade por pesca (no eixo y). A aba Kobe inclui uma opção para exibir os dados como um gráfico temporal de Kobe, que mostra a porcentagem de execuções que caem em cada quadrante de Kobe em cada ano de projeção."
"A table of performance indicators for each management procedure, with colored shading to indicate better/worse performance.","Uma tabela de indicadores de desempenho para cada procedimento de manejo, com sombreamento colorido para indicar melhor/pior desempenho."
"Also sometimes referred to as Radar charts or web diagrams, these plots show results for three or more performance indicators, each represented on an axis starting from the same center point.","Também às vezes chamados de gráficos de radar ou diagramas em teia, esses gráficos mostram resultados para três ou mais indicadores de desempenho, cada um representado em um eixo que parte do mesmo ponto central."
"A scatter plot comparing two performance indicators.","Um gráfico de dispersão comparando dois indicadores de desempenho."
"MP Color Settings","Configurações de Cor de MP"
"Click the colored box of each MP to select a different color, or select from an existing color palette at the bottom.","Clique na caixa colorida de cada MP para selecionar uma cor diferente ou escolha de uma paleta existente na parte inferior."
"Apply Color Selections","Aplicar Seleções de Cor"
"Select a Color Palette","Selecionar uma Paleta de Cores"
"Click ","Clique "
"here","aqui"
"to modify colors","para modificar as cores"
"Factors","Fatores"
"Design","Design"
"Filters","Filtros"
"Apply Filters","Aplicar Filtros"
"Shading?","Sombreamento?"
"Min-Max Color Scaling?","Escala de Cores Mínimo-Máximo?"
"Static Table?","Tabela Estática?"
"Quilt Color Settings","Configurações de Cor do Mosaico"
"High Values","Valores Altos"
"Low Values","Valores Baixos"
"The Quilt plot is designed as a color-coded table showing the values of the selected Performance Indicators (columns) for each Management Procedure (rows).","O gráfico Mosaico foi projetado como uma tabela codificada por cores mostrando os valores dos Indicadores de Desempenho selecionados (colunas) para cada Procedimento de Manejo (linhas)."
"An exception is if the analyst who built the Slick Object specified maximum and minimum values for each performance indicator (e.g., between 0 and 1 for probabilities).","Uma exceção ocorre se o analista que construiu o Objeto Slick especificou valores máximos e mínimos para cada indicador de desempenho (por exemplo, entre 0 e 1 para probabilidades)."
"Use the button below the Quilt table to modify the colors shown in the table.","Use o botão abaixo da tabela Mosaico para modificar as cores mostradas na tabela."
"Note: currently the Report feature is not implemented for the Quilt plot.","Nota: atualmente, o recurso de Relatório não está implementado para o gráfico Mosaico."
"highest value","maior valor"
" lowest value "," menor valor "
"The color shading indicates values ranging between the","O sombreamento de cor indica valores variando entre o"
"to the","até o"
"for the performance indicator in each column. Higher values indicated better performance.","para o indicador de desempenho em cada coluna. Valores mais altos indicam melhor desempenho."
"Add to Report","Adicionar ao Relatório"
"Description","Descrição"
"Description or caption for chart","Descrição ou legenda do gráfico"
"Image Settings","Configurações de Imagem"
"Update Plot","Atualizar Gráfico"
"Report Format","Formato do Relatório"
"Generate report","Gerar relatório"
"Nothing added to Report yet","Nada adicionado ao Relatório ainda"
"Introduction","Introdução"
"Home","Início"
"Report","Relatório"
"By Management Procedure","Por Procedimento de Manejo"
"Relative Scale","Escala Relativa"
"Please select 3 or more Performance Indicators","Por favor, selecione 3 ou mais Indicadores de Desempenho"
" management procedures (MP) against "," procedimentos de manejo (MP) em relação a "
" performance indicators."," indicadores de desempenho."
"Each value is the mean performance indicator over ","Cada valor é o indicador de desempenho médio sobre "
"Larger polygon areas indicate better overall performance.","Áreas maiores do polígono indicam melhor desempenho geral."
"The filled plots represent an average score of all performance indicators for each management procedure. It provides a quick comparison of overall MP performances. Larger areas indicate better overall performance","Os gráficos preenchidos representam uma pontuação média de todos os indicadores de desempenho para cada procedimento de manejo. Fornece uma comparação rápida dos desempenhos gerais dos MPs. Áreas maiores indicam melhor desempenho geral."
"These summary values assume equal weighting and equal scaling of performance indicators.","Esses valores resumidos assumem pesos e escalas iguais dos indicadores de desempenho."
"This chart","Este gráfico"
"compares the performance of ","compara o desempenho de "
" management procedures (MP)"," procedimentos de manejo (MP)"
"against ","em relação a "
" performance indicators"," indicadores de desempenho"
" for a set of "," para um conjunto de "
" operating models (columns)."," modelos operacionais (colunas)."
"The polygon edges in each chart connect the individual scores of the performance indicators for that management procedure. Points closer to the exterior edge indicate better performance.","As bordas do polígono em cada gráfico conectam as pontuações individuais dos indicadores de desempenho para aquele procedimento de manejo. Pontos mais próximos da borda externa indicam melhor desempenho."
"The percentages represent an average score of all performance indicators for each management procedure. It provides a quick comparison of overall performance for each MP. Filled hexagons with larger areas indicate better overall performance.","As porcentagens representam uma pontuação média de todos os indicadores de desempenho para cada procedimento de manejo. Fornece uma comparação rápida do desempenho geral de cada MP. Hexágonos preenchidos com áreas maiores indicam melhor desempenho geral."
"For each operating model (in columns), the management procedures (in rows) are ordered from highest to lowest overall average score.","Para cada modelo operacional (em colunas), os procedimentos de manejo (em linhas) são ordenados do maior para o menor valor médio geral."
"Note:","Nota:"
"These summary values assume equal weighting and equal scaling of performance indicators. Use the button to turn off the Overall Scores.","Esses valores resumidos assumem pesos e escalas iguais dos indicadores de desempenho. Use o botão para desativar as Pontuações Gerais."
"Overall Score","Pontuação Geral"
"Overall scores","Pontuações gerais"
"(average of ","(média dos "
"performance indicators)","indicadores de desempenho)"
"Please select 3 or more Peformance Indicators","Por favor, selecione 3 ou mais Indicadores de Desempenho"
"Please select 2 or more MPs","Por favor, selecione 2 ou mais MPs"
" Management Procedures. Mean values over "," Procedimentos de Manejo. Valores médios sobre "
" Operating Models."," Modelos Operacionais."
" Management Procedures. Mean values over simulations for "," Procedimentos de Manejo. Valores médios sobre simulações para "
" Management Procedures. "," Procedimentos de Manejo. "
"Select Variable:","Selecionar Variável:"
"Y-Axis Range","Faixa do Eixo Y"
"Include MP percentiles?","Incluir percentis de MP?"
"Include MP Labels?","Incluir Rótulos de MP?"
"Include Historical?","Incluir Histórico?"
"This chart shows a stock status variables over time, for ","Este gráfico mostra uma variável de estado do estoque ao longo do tempo, para "
"management procedures and level of uncertainty across","procedimentos de manejo e nível de incerteza entre"
"different simulation runs","diferentes execuções de simulação"
"management procedures and","procedimentos de manejo e"
"individual Operating Models.","Modelos Operacionais individuais."
"The results are shown for 1 operating model at a time, either as the median across","Os resultados são mostrados para 1 modelo operacional por vez, seja como a mediana entre"
"simulations, or for a specific simulation.","simulações ou para uma simulação específica."
"Click the ""Operating Model"" dropdown in the top menu for details of each OM.","Clique no menu suspenso ""Modelo Operacional"" no menu superior para detalhes de cada modelo operacional."
"Plot Option","Opção de Gráfico"
"by MP?","por MP?"
"Individual Simulation:","Simulação Individual:"
"Update Plots","Atualizar Gráficos"
"This chart plots the tradeoffs between any two performance indicators (select on right) for ","Este gráfico traça as compensações entre quaisquer dois indicadores de desempenho (selecione à direita) para "
"management procedures (MP).","procedimentos de manejo (MP)."
"Select the Performance Indicators to show on the X and Y axes of the Tradeoff plot:","Selecione os Indicadores de Desempenho para exibir nos eixos X e Y do gráfico de compensação:"
"X-Axis Performance Indicator","Indicador de Desempenho do Eixo X"
"Y-Axis Performance Indicator","Indicador de Desempenho do Eixo Y"
